"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)"
2025-12-01,2026-05-06,,0,"Configurações de vários atributos",,,172635,2.659611,,0,0,10297.04,,459142,22.4267,,,,,14720,3.20598,0.699527,,
2025-12-01,2026-05-06,[LEAD][MENSAGEM][25brl][Curso],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[VENDAS][CBO][50Brl][Novembro][3],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[VENDAS][CBO][50Brl][Novembro][4],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[VENDAS][CBO][50Brl][Novembro][realCBO],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[VENDAS][CBO][45brl][Dezembro],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,1-[VENDAS][CBO][45brl][Dezembro]kit,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,2-[VENDAS][CBO][42brl][Dezembro]kit,inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,3-[VENDAS][CBO][40brl][Dezembro],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[LEAD][SITES][20brl],inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,0,0,,,,,0,0,0,,
2025-12-01,2026-05-06,[PF][50brl][Agressivo],inactive,Incremental,1,actions:offsite_conversion.fb_pixel_purchase,6103,1.194495,49.5,50,Diário,49.5,2025-12-23,7290,6.790123,93,,0.532258,1.27572,110,1.508916,0.45,88,0.5625
2025-12-01,2026-05-06,[PF][50brl[Estatico][Leve],inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,8304,1.047327,,50,Diário,58.41,2025-12-23,8697,6.716109,148,,0.394662,1.701736,179,2.058181,0.326313,83,0.703735
2025-12-01,2026-05-06,[PF][50brl][Venda][POV],inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",11,actions:offsite_conversion.fb_pixel_purchase,3923,1.604129,20.24454545,50,Diário,222.69,Contínuo,6293,35.386938,209,,1.065502,3.32115,303,4.814874,0.734951,183,1.216885
2025-12-01,2026-05-06,[PF][51brl][Venda][POV][1],inactive,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",6,actions:offsite_conversion.fb_pixel_purchase,3360,1.415179,29.785,51,Diário,178.71,Contínuo,4755,37.583596,109,,1.639541,2.292324,169,3.554154,1.057456,99,1.805152
