"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Término,"Configuração de atribuição"
2024-07-01,2026-05-06,"Publicação do Instagram: Quando iniciei no...",completed,39,actions:link_click,0.18948718,330,Total,7.39,744,728,2024-07-01,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: ✨A energia do esporte...",completed,413,actions:link_click,0.16476998,300,Total,68.05,6869,6225,2024-07-07,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: 🏅Começou a Periodização...",archived,43,actions:link_click,0.30813953,330,Total,13.25,1547,1347,2024-07-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Maratona 🏅 Sendo a 1ª ou...",archived,23,actions:link_click,0.53086957,300,Total,12.21,1147,1053,2024-07-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Minha missão é Otimizar...",archived,31,actions:link_click,0.40580645,11,Diário,12.58,4098,3548,2024-07-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Periodização nutricional...",completed,17,actions:link_click,0.43,100,Total,7.31,1563,1438,2024-07-01,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Quebrar no fim do treino...",archived,164,actions:link_click,0.53036585,11,Diário,86.98,11156,6297,2024-07-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Triatletas, Maratonistas...",archived,278,actions:link_click,0.30758993,330,Total,85.51,5704,3744,2024-07-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: Quando iniciei no...",archived,33,actions:link_click,0.46848485,330,Total,15.46,1509,1372,2024-07-10,"Clique de 7 dias ou visualização de 1 dia"
2024-07-01,2026-05-06,"Publicação do Instagram: ✨A energia do esporte...",inactive,1510,actions:link_click,0.18398675,300,Total,277.82,26596,18978,2024-08-07,"Clique de 7 dias ou visualização de 1 dia"
